DIRECTORIO	SECUENCIA_P	ORDEN	HOGAR	REGIS	P6016	P6020	P6030S1	P6030S3	P6040	P6050	P6080	P6080S1	P6070	P6081	P6081S1	P6083	P6083S1	P6071	P6071S1	P3147S1	P3147S2	P3147S3	P3147S4	P3147S5	P3147S6	P3147S7	P3147S8	P3147S9	P3147S10	P3147S11	P3147S10A1	P3246	P6090	P6140	P6150	P6100	P6110	P6120	P6125	P6160	P6170	P6175	P6210	P6210S1	P6220	P6269	AREA	ESC	MES	DPTO	fex_c_2011
5337388	1	7	1	10	2	1	7	2010	10	4	6	 	6	2	 	2	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	3	 	 	2	1	1	1	3	3	 	 	73	3	1	73	641,5116426
5337389	1	1	1	10	1	2	4	1971	49	1	6	 	4	3	 	3	 	 	 	 	1	1	 	1	 	1	 	1	 	 	 	1	1	 	 	1	3	109725	2	1	2	 	6	2	3	 	17	13	1	17	197,6030438
5337389	1	2	1	10	2	2	10	1997	23	3	6	 	6	2	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	1	56000	2	1	1	2	6	4	2	2	17	15	1	17	197,6030438
5337389	1	3	1	10	3	1	10	2003	17	3	6	 	6	2	 	1	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	1	5	 	2	1	2	 	5	11	2	 	17	11	1	17	197,6030438
5337393	1	1	1	10	1	2	3	1989	31	1	6	 	6	3	 	2	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	2	1	 	 	1	1	35112	2	1	2	 	5	11	2	 	73	11	1	73	183,8738884
5337393	1	2	1	10	2	2	12	1986	34	9	6	 	6	2	 	2	 	 	 	 	 	 	 	1	 	1	 	 	 	 	 	 	1	 	 	3	 	 	2	1	2	 	5	11	2	 	73	11	1	73	183,8738884
5337393	1	3	1	10	3	2	3	2005	15	9	6	 	6	2	 	1	2	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	3	 	 	2	1	1	1	4	9	 	 	73	9	1	73	183,8738884
5337394	1	1	1	10	1	1	1	1989	31	1	6	 	2	2	 	2	 	1	2	1	 	1	1	 	 	 	 	 	 	 	 	2	1	 	 	1	1	35000	2	1	2	 	6	2	3	 	73	13	1	73	467,8508127
5337394	1	2	1	10	2	2	10	1996	24	2	6	 	2	2	 	2	 	1	1	1	 	 	 	 	 	1	 	 	 	 	 	 	1	 	 	1	5	 	2	1	2	 	5	11	2	 	73	11	1	73	467,8508127
5337394	1	3	1	10	1	2	7	2013	7	3	6	 	 	2	 	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	5	 	2	1	1	1	3	1	 	 	73	1	1	73	467,8508127
5337394	1	4	1	10	1	2	12	2018	2	3	6	 	 	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	5	 	2	 	 	 	 	 	 	 	73	 	1	73	467,8508127
5337395	1	1	1	10	2	1	4	1926	94	1	6	 	5	3	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	1	2	70224	2	1	2	 	6	5	4	 	17	16	1	17	187,1117914
5337395	1	2	1	10	2	2	9	1972	48	3	6	 	6	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	1	60000	2	1	2	 	6	8	5	 	17	19	1	17	187,1117914
5337396	1	1	1	10	1	1	12	1987	33	1	6	 	3	2	 	2	 	1	2	 	 	 	1	 	 	 	 	 	 	 	 	2	1	 	 	1	1	36000	2	1	1	2	6	7	3	 	17	18	1	17	238,745765
5337396	1	2	1	10	2	2	11	1990	30	2	6	 	3	2	 	2	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	1	44000	2	1	2	 	6	5	4	 	17	16	1	17	238,745765
5337396	1	3	1	10	1	2	6	2019	1	3	6	 	 	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	5	 	2	 	 	 	 	 	 	 	17	 	1	17	238,745765
5337397	1	1	1	10	1	2	3	1974	46	1	6	 	2	2	 	2	 	1	2	 	 	 	1	 	 	 	 	 	 	 	 	2	1	 	 	1	5	 	2	1	2	 	6	5	4	 	73	16	1	73	296,9824355
5337397	1	2	1	10	2	1	6	1966	54	2	6	 	2	2	 	2	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	3	192000	2	1	2	 	6	5	4	 	73	16	1	73	296,9824355
5337397	1	3	1	10	3	1	6	2005	15	3	6	 	6	1	2	1	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	1	5	 	2	1	1	2	4	9	 	 	73	9	1	73	296,9824355
5337398	1	1	1	10	1	2	1	1944	77	1	6	 	5	3	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	2	2	120000	2	1	2	 	4	8	 	 	73	8	1	73	282,7976745
5337399	1	1	1	10	1	1	8	1952	68	1	6	 	3	3	 	3	 	1	2	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	2	2	200000	2	1	2	 	5	11	2	 	73	11	1	73	292,3735645
5337399	1	2	1	10	2	2	2	1954	66	2	6	 	3	3	 	3	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	2	2	180000	2	1	2	 	5	11	2	 	73	11	1	73	292,3735645
5337399	1	3	1	10	3	1	2	1980	40	3	6	 	6	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	3	110000	2	1	2	 	6	2	3	 	73	13	1	73	292,3735645
5337399	1	4	1	10	4	1	5	1987	33	3	6	 	6	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	2	1	12	 	 	 	2	1	1	1	6	2	3	 	73	13	1	73	292,3735645
5337399	2	1	2	10	1	1	5	1974	46	1	6	 	3	2	 	2	 	1	2	 	 	 	 	 	 	 	 	 	 	1	 	2	1	 	 	1	1	100000	2	1	2	 	6	5	4	 	73	16	1	73	292,3735645
5337399	2	2	2	10	2	2	11	1984	36	2	6	 	3	3	 	2	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	1	5	 	2	1	2	 	6	1	3	 	73	12	1	73	292,3735645
5337399	2	3	2	10	3	2	2	2003	17	3	6	 	6	2	 	1	2	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	1	5	 	2	1	1	1	6	0	2	2	73	11	1	73	292,3735645
5337399	2	4	2	10	4	2	5	2009	11	3	6	 	6	1	1	1	2	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	1	5	 	2	1	1	1	4	0	 	 	73	5	1	73	292,3735645
5337399	2	5	2	10	2	2	5	2012	8	3	6	 	 	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	5	 	2	1	1	1	3	3	 	 	73	3	1	73	292,3735645
5337400	1	1	1	10	1	1	4	1970	50	1	6	 	2	3	 	2	 	1	2	 	 	 	1	 	 	 	 	 	 	 	 	1	1	 	 	1	1	44000	2	1	2	 	6	1	3	 	73	12	1	73	380,174129
5337400	1	2	1	10	2	2	2	1984	36	2	6	 	2	3	 	2	 	1	1	 	 	 	 	 	 	1	 	 	 	 	 	 	1	 	 	1	5	 	2	1	1	1	6	1	3	 	73	12	1	73	380,174129
5337400	1	3	1	10	3	2	6	2007	13	3	6	 	6	1	1	1	2	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	1	5	 	2	1	1	1	4	8	 	 	73	8	1	73	380,174129
5337400	1	4	1	10	4	1	8	2010	10	3	6	 	6	1	1	1	2	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	1	5	 	2	1	1	1	3	4	 	 	73	4	1	73	380,174129
